rxn_idx,DGsolv_R,DGsolv_P,DGsolv_PR,R_max,R_min,R_std,P_max,P_min,P_std,P-R_max,P-R_min,P-R_std,P+R_max,P+R_min,P+R_std,PR_max,PR_min,PR_std,ln_krel
8,-0.13639356893838475,-0.2441487549238104,-0.05337393201866036,0.16151679135012323,-0.03087741632059839,0.04564738452726058,0.18860343624505918,-0.23681546774204332,0.21198412172664824,0.14425027937459095,-0.20669883255205548,0.15957838149328782,0.22264973199746535,-0.2253903209070266,0.2621963845140786,0.22820138070533327,0.23874569333783652,0.25711003525403586,1.0
9,0.36312993569802554,0.38334559858298906,-0.3019759283797335,0.758150795149162,-0.7388506860197426,0.7517127264515285,0.044999645608317256,0.17207308478127356,-0.10605264252614423,-0.7397267024407088,0.7033468433674213,-0.739235667205203,0.7603584348920914,-0.7145683177415033,0.7539191400848606,0.636362779862831,0.43265734478061446,0.6210846320363499,1.0
11,-0.36890277649014847,-0.35155814619842096,0.19819799649483866,0.3825086488307797,-0.5075731926578679,0.48503375909518265,0.21451609246889305,0.2862206675721541,-0.13441557089289555,0.06176297223446267,0.3334278044696792,-0.21958218261477314,0.3234863834516467,0.21769555200114837,-0.014649002441856527,0.4091829819299932,-0.18848066501307245,0.15084507847259743,0.9999999999999999
12,-0.3978696948851098,-0.4240703523663754,-0.1947341249799558,0.3194952506041409,-0.5185336346519557,0.44850022578149584,-0.5119088028528446,0.2562339871945539,-0.4718062146389307,-0.6388047189506157,0.37480919689164627,-0.5657512704294,-0.24504657407102381,-0.022220785530179882,-0.05745526633627353,-0.42523000416252726,-0.10668719935597439,-0.3322944207689836,0.9999999999999998
13,-0.010492330661066293,0.10907982480185655,0.23112609921362443,-0.17126165885663003,0.2711547031724875,-0.23799532312969982,0.43462481783217144,-0.2835569802933271,0.3780644747001031,0.4628543865013405,-0.3097112385067926,0.3918523110874419,0.39392720070823456,-0.2521960227403281,0.35569858156857037,-0.16056273709022018,0.12831686024801595,0.15600200472473572,1.0
14,-0.5440185828902255,-0.421834954434227,0.5903087623941053,-0.6168920115558916,0.3839825943211765,-0.4430472786744458,-0.5440948931896714,0.43965933158129844,-0.5195901044918405,-0.4982483247010202,0.37205317827768714,-0.49122752457557983,-0.5700423325584245,0.47673127646433394,-0.537529984402752,-0.5960268214616397,-0.44147882369166214,-0.5005874849924757,1.0
526,0.47861598635356806,0.38649146827227193,-0.4862190221568638,0.08857745894076409,0.2260059962781068,-0.10542062905903302,-0.5498789542068415,-0.3981245987090559,-0.3222489125610308,-0.6313337882818683,-0.3498095937302219,-0.3694927245838379,-0.4561927081119012,-0.3961737877619676,-0.2633082839847565,-0.27222288069315564,0.30360592975656636,-0.17712135640554913,1.0
531,0.11411572808469203,0.06788395742069474,-0.8728110970403982,-0.9180661167036399,0.41825366703304906,-0.6720830817328568,-0.6920561257813775,-0.25303152285295244,0.2942373715211246,-0.1643300197606448,-0.2744552266243921,0.3619133459052974,-0.8788356358307441,-0.2260926777600494,0.2034964283998478,-0.8786061042842228,0.08643807976825219,-0.17862237147405088,1.0
532,-0.39776470259955493,-0.4239635350094527,-0.19473276303618295,0.3195505400336934,-0.5186812052568481,0.44864476885785126,-0.511998440664993,0.2563675758773915,-0.47190789066988376,-0.6389162015170495,0.3749588392436149,-0.5659012030307669,-0.24508981980679367,-0.022146114618784622,-0.05742847845527526,-0.4252521761447902,-0.10672389137127614,-0.3322779847835018,0.9999999999999998
534,0.05374546300039708,-0.016372870247260397,-0.18368838500997695,0.5067021234359751,-0.9709771109173994,0.9027469632654515,-0.015256493063220486,0.9573453345156524,-0.09262728873354314,-0.1602376241147804,0.9685458267811325,-0.46156807835092506,0.18791699381571114,0.34368370244009183,0.43995558069905144,0.20240539230506066,-0.5632293055817621,0.2721010725286614,1.0
545,-0.11561880617264735,-0.18408739379894906,-0.1965577106471406,0.33751976253473487,-0.31728433588035415,0.35914474807280866,-0.0008352628059988467,-0.010731183984382203,0.001166522910343877,-0.16315943818385045,0.17982631983933678,-0.3032721406266835,0.09988914329439202,-0.2481555069534627,0.24768147200922458,0.40318258502264726,0.3663730396198798,0.3594649368555293,0.9999999999999998
20164,-0.33994639136139915,-0.6236773191291048,-0.8110930112396877,-0.396855420972454,0.5407589544281732,-0.47330018874658075,-0.1018114071505255,-0.21134242250280386,0.20246719912100128,0.3978332400128221,-0.5891321424733187,0.5129498442600081,-0.39521669231300294,0.48847643016621967,-0.4345694823267777,0.40162673064347343,-0.5132497935118092,-0.3641595451069603,1.0
